France, 221747, 
01, 2472,
02, 1862,
03, 922,
04, 593,
05, 259,
06, 4972,
07, 754,
08, 635,
09, 327,
10, 890,
11, 1210,
12, 421,
13, 11235,
14, 1608,
15, 204,
16, 1030,
17, 1847,
18, 945,
19, 396,
21, 1149,
22, 1210,
23, 147,
24, 1089,
25, 1288,
26, 1976,
27, 1401,
28, 901,
29, 1639,
30, 2737,
31, 7320,
32, 452,
33, 6579,
34, 4854,
35, 2173,
36, 473,
37, 1655
38, 5965,
39, 540,
40, 749,
41, 749,
42, 2520, 
43, 482,
44, 5869,
45, 2300,
46, 355,
47, 1242,
48, 113,
49, 1707,
50, 527,
51, 1694,
52, 392,
53, 405,
54, 1410,
55, 439,
56, 1617,
57, 2903,
58, 526,
59, 9525,
60, 2396,
61, 451,
62, 4406,
63, 2009,
64, 1647,
65, 728,
66, 1578,
67, 2298,
68, 1988,
69, 9398,
70, 419,
71, 1423,
72, 1256, 
73, 1176,
74, 2752,
75, 11681,
76, 3252,
77, 5384,
78, 4370,
79, 693,
80, 1347,
81, 1382,
82, 940,
83, 4871,
84, 2162,
85, 1094,
86, 1045,
87, 894,
88, 835,
89, 839,
90, 351, 
91, 4930,
92, 4843,
93, 7661,
94, 5610,
95, 4153,
971, 1227,
972, 802,
973, 1245,
974, 1603,
975, n/a
976, 606,
977, 1,
978, 55,
986, 9, 
987, 580, 
988, 1383,
2A, 159
2B, 156
